"","cod_mun","tot_vacinado","F","M","I","dose1_F","dose2_F","reforco_F","dose1_M","dose2_M","reforco_M","dose1_I","dose2_I","reforco_I"
"67","120039",16741,8382,8359,0,4086,3224,1072,4325,3107,927,0,0,0
"68","120040",780694,416539,364155,0,182499,155047,78993,166591,134825,62739,0,0,0
"69","120042",21431,10999,10431,1,5389,4098,1512,5415,3793,1223,1,0,0
"70","120043",9485,4696,4789,0,2229,1638,829,2303,1669,817,0,0,0
"71","120045",36769,19382,17387,0,8698,6932,3752,8122,6261,3004,0,0,0
"72","120050",70328,35857,34471,0,16172,13376,6309,16246,12766,5459,0,0,0
"73","120060",63077,31919,31158,0,15221,11470,5228,15577,10966,4615,0,0,0
"74","120070",28062,13993,14069,0,6441,5218,2334,6876,5181,2012,0,0,0
"75","120080",18905,9878,9027,0,4664,3466,1748,4631,3040,1356,0,0,0
"76","130000",2,0,2,0,0,0,0,1,1,0,0,0,0
"77","130002",28229,14811,13418,0,6419,5302,3090,6285,4795,2338,0,0,0
"78","130006",8232,4160,4072,0,2336,1177,647,2457,1115,500,0,0,0
"79","130008",16340,8213,8127,0,3723,2951,1539,3918,2944,1265,0,0,0
"80","130010",18755,9867,8888,0,4716,3584,1567,4600,3170,1118,0,0,0
"81","130014",17945,8603,9342,0,3846,3230,1527,4359,3418,1565,0,0,0
"82","130020",20782,10517,10265,0,5112,3629,1776,5211,3478,1576,0,0,0
"83","130030",71924,36363,35561,0,16015,13290,7058,16502,12845,6214,0,0,0
"84","130040",25612,12973,12639,0,6272,4554,2147,6456,4443,1740,0,0,0
"85","130050",66309,32768,33540,1,13701,11572,7495,14577,11994,6969,0,0,1
"86","130060",55317,27792,27525,0,13041,9845,4906,13378,9698,4449,0,0,0
"87","130063",23924,12205,11719,0,5950,4365,1890,6022,4178,1519,0,0,0
"88","130068",30922,15175,15747,0,6368,5504,3303,7019,5769,2959,0,0,0
"89","130070",39229,20020,19209,0,9392,7259,3369,9394,6888,2927,0,0,0
"90","130080",57706,29130,28576,0,13017,10565,5548,13446,10357,4773,0,0,0
"91","130083",14527,7352,7175,0,3351,2701,1300,3476,2576,1123,0,0,0
"92","130090",12256,6290,5966,0,3247,2285,758,3231,2125,610,0,0,0
"93","130100",55667,28082,27585,0,12288,10627,5167,12390,10455,4740,0,0,0
"94","130110",41854,21407,20447,0,9430,7788,4189,9459,7381,3607,0,0,0
"95","130115",28424,13868,14556,0,6049,5023,2796,6661,5276,2619,0,0,0
"96","130120",113986,60182,53804,0,27386,21805,10991,26187,19163,8454,0,0,0
"97","130130",29030,15614,13416,0,6986,5705,2923,6598,4804,2014,0,0,0
"98","130140",45694,24086,21608,0,11859,8812,3415,11010,7803,2795,0,0,0
"99","130150",25780,13412,12368,0,6283,4961,2168,6186,4486,1696,0,0,0
"100","130160",34318,17483,16835,0,8363,5969,3151,8507,5789,2539,0,0,0
"101","130165",16161,8862,7299,0,4266,3441,1155,3700,2781,818,0,0,0
"102","130170",90898,46123,44775,0,19937,16705,9481,20289,16088,8398,0,0,0
"103","130180",23818,12045,11773,0,5693,4464,1888,6009,4272,1492,0,0,0
"104","130185",79989,41916,38072,1,19382,14984,7550,18494,13486,6092,1,0,0
"105","130190",184816,95503,89313,0,41601,34286,19616,41404,32000,15909,0,0,0
"106","130195",12172,5911,6261,0,2950,2163,798,3202,2229,830,0,0,0
"107","130200",20953,10507,10446,0,4295,3677,2535,4525,3690,2231,0,0,0
"108","130210",6410,3217,3193,0,1673,1166,378,1759,1128,306,0,0,0
"109","130220",14742,7356,7386,0,3589,2774,993,3725,2759,902,0,0,0
"110","130230",26977,14556,12421,0,7202,5363,1991,6622,4444,1355,0,0,0
"111","130240",59713,30583,29130,0,13369,11186,6028,13532,10644,4954,0,0,0
"112","130250",161077,84351,76726,0,38583,30902,14866,37213,28093,11420,0,0,0
"113","130255",32121,15569,16550,2,6710,5393,3466,7369,5700,3481,1,1,0
"114","130260",4261911,2281847,1980058,6,952695,842359,486789,866017,736777,377260,5,1,0
"115","130270",67990,34694,33296,0,15377,12659,6658,15892,12098,5306,0,0,0
"116","130280",19025,10016,9008,1,4434,3631,1951,4316,3251,1441,1,0,0
"117","130290",100562,50839,49723,0,22851,18045,9943,23611,17576,8536,0,0,0
"118","130300",43441,21122,22319,0,8539,7364,5219,9348,7745,5226,0,0,0
"119","130310",43497,21401,22096,0,10382,7529,3490,10992,7773,3331,0,0,0
"120","130320",20127,10448,9679,0,4998,3866,1584,4874,3507,1298,0,0,0
"121","130330",26595,13980,12615,0,6356,5252,2372,6138,4722,1755,0,0,0
"122","130340",194105,98256,95849,0,39350,34732,24174,40577,34332,20940,0,0,0
"123","130350",18613,9475,9138,0,4829,3381,1265,4852,3175,1111,0,0,0
"124","130353",59078,28678,30400,0,13048,10557,5073,14058,11022,5320,0,0,0
"125","130356",50863,25764,25099,0,11446,9275,5043,11633,9061,4405,0,0,0
