"","cod_mun","tot_vacinado","F","M","I","dose1_F","dose2_F","reforco_F","dose1_M","dose2_M","reforco_M","dose1_I","dose2_I","reforco_I"
"1508","260350",39263,21742,17521,0,8910,7883,4949,7749,6464,3308,0,0,0
"1509","260360",18354,9516,8838,0,3759,3404,2353,3704,3204,1930,0,0,0
"1510","260370",46102,23937,22165,0,9890,8483,5564,9632,7923,4610,0,0,0
"1511","260380",41253,22160,19093,0,8529,7725,5906,7908,6788,4397,0,0,0
"1512","260390",51467,26807,24660,0,9721,9237,7849,9511,8644,6505,0,0,0
"1513","260392",30719,15305,15414,0,5887,5393,4025,6218,5472,3724,0,0,0
"1514","260400",162273,90298,71973,2,36073,31618,22607,30649,25925,15399,1,1,0
"1515","260410",710866,389466,321389,11,158774,131558,99134,137231,111014,73144,6,4,1
"1516","260415",32907,17247,15657,3,6937,6041,4269,6726,5548,3383,1,1,1
"1517","260420",62107,33829,28278,0,14468,11993,7368,12864,10122,5292,0,0,0
"1518","260430",29047,15008,14038,1,5443,4971,4594,5379,4803,3856,1,0,0
"1519","260440",26431,13772,12659,0,5993,5051,2728,5877,4712,2070,0,0,0
"1520","260450",42342,22513,19829,0,9575,8093,4845,8998,7182,3649,0,0,0
"1521","260460",51513,27946,23567,0,11584,9793,6569,10524,8414,4629,0,0,0
"1522","260470",30305,15928,14377,0,6662,5386,3880,6390,4921,3066,0,0,0
"1523","260480",25683,13893,11789,1,5759,5130,3004,5271,4378,2140,1,0,0
"1524","260490",33795,17875,15918,2,7038,6473,4364,6668,5920,3330,1,0,1
"1525","260500",55133,30204,24929,0,12401,10727,7076,10801,9036,5092,0,0,0
"1526","260510",83312,43458,39854,0,17245,15091,11122,16646,14064,9144,0,0,0
"1527","260515",38100,19622,18478,0,7678,7056,4888,7693,6732,4053,0,0,0
"1528","260520",111784,58987,52797,0,25082,20607,13298,23518,18764,10515,0,0,0
"1529","260530",62248,32476,29772,0,13704,11838,6934,13289,10983,5500,0,0,0
"1530","260540",45476,24962,20514,0,10077,8926,5959,8845,7509,4160,0,0,0
"1531","260545",6562,3321,3241,0,1228,1135,958,1243,1135,863,0,0,0
"1532","260550",27191,14333,12858,0,5565,5080,3688,5384,4645,2829,0,0,0
"1533","260560",50851,26868,23983,0,9768,8994,8106,9384,8247,6351,0,0,0
"1534","260570",66124,34701,31423,0,14077,11871,8753,13584,11039,6800,0,0,0
"1535","260580",25664,13857,11807,0,5427,4623,3807,4928,4098,2781,0,0,0
"1536","260590",43462,22623,20839,0,9563,8137,4923,9466,7640,3733,0,0,0
"1537","260600",306341,170776,135565,0,69216,57751,43809,58223,47184,30158,0,0,0
"1538","260610",61240,32307,28933,0,13003,11751,7553,12366,10675,5892,0,0,0
"1539","260620",165954,87589,78363,2,36982,30919,19688,34589,28152,15622,2,0,0
"1540","260630",18306,9467,8839,0,3494,3258,2715,3507,3168,2164,0,0,0
"1541","260640",162137,88068,74068,1,35994,31712,20362,32367,27188,14513,0,1,0
"1542","260650",44606,22876,21730,0,8660,7938,6278,8811,7726,5193,0,0,0
"1543","260660",57906,31263,26643,0,12346,10968,7949,11305,9519,5819,0,0,0
"1544","260670",19238,10035,9203,0,3667,3406,2962,3603,3293,2307,0,0,0
"1545","260680",235692,127778,107910,4,51754,46699,29325,46138,39960,21812,2,2,0
"1546","260690",28886,15156,13730,0,5542,5179,4435,5300,4851,3579,0,0,0
"1547","260700",31064,16115,14949,0,6718,5941,3456,6729,5508,2712,0,0,0
"1548","260710",11465,5907,5558,0,2153,2003,1751,2170,1912,1476,0,0,0
"1549","260720",187634,102738,84896,0,47566,37723,17449,41291,30808,12797,0,0,0
"1550","260730",47819,26464,21355,0,11847,9365,5252,10362,7548,3445,0,0,0
"1551","260740",12585,6575,6010,0,2442,2228,1905,2358,2093,1559,0,0,0
"1552","260750",59674,31538,28136,0,12071,11080,8387,11579,9999,6558,0,0,0
"1553","260760",40717,20996,19721,0,8532,7378,5086,8712,7038,3971,0,0,0
"1554","260765",81431,42167,39264,0,17291,14927,9949,16819,14217,8228,0,0,0
"1555","260770",34488,18249,16239,0,6688,6195,5366,6364,5627,4248,0,0,0
"1556","260775",50237,26819,23418,0,11189,9280,6350,10327,8347,4744,0,0,0
"1557","260780",32981,16945,16036,0,6931,5975,4039,6946,5820,3270,0,0,0
"1558","260790",1395202,767368,627826,8,313678,275519,178171,270278,228129,129419,6,2,0
"1559","260795",23509,12487,11022,0,4942,4451,3094,4686,4087,2249,0,0,0
"1560","260800",35254,18821,16433,0,7758,6472,4591,7229,5656,3548,0,0,0
"1561","260805",27032,14298,12734,0,5825,4994,3479,5500,4486,2748,0,0,0
"1562","260810",70923,38139,32784,0,14769,13189,10181,13487,11627,7670,0,0,0
"1563","260820",30785,16108,14677,0,6874,6084,3150,6672,5470,2535,0,0,0
"1564","260825",28175,15355,12820,0,6075,5428,3852,5484,4628,2708,0,0,0
"1565","260830",36671,20074,16597,0,7675,6976,5423,6901,5913,3783,0,0,0
"1566","260840",32323,17044,15279,0,7074,6084,3886,6702,5524,3053,0,0,0
"1567","260845",32347,17220,15127,0,7248,6405,3567,6725,5654,2748,0,0,0
"1568","260850",47526,25457,22069,0,10435,9347,5675,9496,8211,4362,0,0,0
"1569","260860",24145,12654,11491,0,6162,4741,1751,5765,4238,1488,0,0,0
"1570","260870",30223,16127,14096,0,6768,5682,3677,6298,4995,2803,0,0,0
"1571","260875",46589,24045,22544,0,10407,8834,4804,10331,8289,3924,0,0,0
"1572","260880",94429,51894,42535,0,20805,18779,12310,18121,15599,8815,0,0,0
"1573","260890",149239,83562,65675,2,31065,28646,23851,26360,23485,15830,1,1,0
"1574","260900",53194,28463,24731,0,11447,10158,6858,10570,9094,5067,0,0,0
"1575","260910",26725,14786,11939,0,5780,5229,3777,5128,4323,2488,0,0,0
"1576","260915",30665,16678,13987,0,7040,5877,3761,6425,5038,2524,0,0,0
"1577","260920",22172,11718,10454,0,4790,4291,2637,4644,3880,1930,0,0,0
"1578","260930",33489,17514,15975,0,6986,6028,4500,6828,5648,3499,0,0,0
"1579","260940",109425,59014,50411,0,24108,21220,13686,21780,18401,10230,0,0,0
"1580","260950",73061,39410,33651,0,16273,13662,9475,14734,11900,7017,0,0,0
"1581","260960",787782,440602,347171,9,186549,158268,95785,155321,126131,65719,7,2,0
"1582","260970",45056,24175,20881,0,9616,8295,6264,8852,7388,4641,0,0,0
"1583","260980",33746,17577,16169,0,6925,6274,4378,6812,5853,3504,0,0,0
"1584","260990",133442,71637,61805,0,29621,25385,16631,27679,22145,11981,0,0,0
"1585","261000",118044,64834,53210,0,27257,23344,14233,24054,19270,9886,0,0,0
"1586","261010",17470,9371,8099,0,3578,3155,2638,3321,2800,1978,0,0,0
"1587","261020",48431,25941,22490,0,11199,9168,5574,10368,8127,3995,0,0,0
"1588","261030",33906,17505,16401,0,6615,6152,4738,6521,5911,3969,0,0,0
"1589","261040",47656,24564,23092,0,9479,8503,6582,9512,8150,5430,0,0,0
"1590","261050",55904,29463,26441,0,13163,11314,4986,12365,10131,3945,0,0,0
"1591","261060",103695,54903,48792,0,23095,20602,11206,21767,18517,8508,0,0,0
"1592","261070",613324,339209,274110,5,133897,120068,85244,115513,99319,59278,4,1,0
"1593","261080",42004,22711,19293,0,9104,7929,5678,8423,6896,3974,0,0,0
"1594","261090",133691,71013,62678,0,29251,25632,16130,26780,22797,13101,0,0,0
"1595","261100",72025,37739,34286,0,16050,13580,8109,15367,12317,6602,0,0,0
"1596","261110",666236,363207,303028,1,154657,132343,76206,137464,111356,54207,0,0,1
"1597","261120",28279,15178,13101,0,5672,5312,4194,5181,4703,3217,0,0,0
"1598","261130",46256,25089,21167,0,11536,9282,4271,10304,7670,3193,0,0,0
"1599","261140",23543,12032,11511,0,5092,4358,2582,5246,4175,2090,0,0,0
"1600","261150",40227,21445,18782,0,8270,7566,5609,7850,6835,4097,0,0,0
"1601","261153",15388,8067,7321,0,3043,2824,2200,2895,2578,1848,0,0,0
"1602","261160",3166400,1758922,1407456,22,837537,707650,213735,697760,560473,149222,12,8,2
"1603","261170",52915,28355,24557,3,11056,10181,7118,10042,8937,5578,1,1,1
"1604","261180",85372,45277,40095,0,18697,16526,10054,17487,14798,7810,0,0,0
"1605","261190",42797,22428,20369,0,9289,8084,5055,9108,7530,3731,0,0,0
"1606","261200",23970,12712,11256,2,5085,4278,3349,4889,3881,2486,1,0,0
"1607","261210",14133,7619,6514,0,2877,2648,2094,2638,2294,1582,0,0,0
"1608","261220",146777,78779,67998,0,29999,26696,22084,27577,23675,16746,0,0,0
"1609","261230",38311,20716,17595,0,8014,6898,5804,7062,5997,4536,0,0,0
"1610","261240",43996,23721,20272,3,9553,8341,5827,8706,7291,4275,2,0,0
"1611","261245",29226,15263,13963,0,6354,5602,3307,6210,5176,2577,0,0,0
"1612","261247",31523,16468,15055,0,6139,5412,4917,5943,5045,4067,0,0,0
"1613","261250",147214,78806,68408,0,34651,29472,14683,31421,25773,11214,0,0,0
"1614","261255",27930,14154,13776,0,6003,5024,3127,6168,4937,2671,0,0,0
"1615","261260",75002,38892,36110,0,16388,13894,8610,16187,12972,6951,0,0,0
"1616","261270",31286,16622,14663,1,6533,5748,4341,6114,5150,3399,0,0,1
"1617","261280",24741,13315,11426,0,4790,4542,3983,4420,3993,3013,0,0,0
"1618","261290",21499,11291,10208,0,4462,3994,2835,4330,3655,2223,0,0,0
"1619","261300",104326,55254,49072,0,21896,19830,13528,21008,18018,10046,0,0,0
"1620","261310",76819,40708,36111,0,17420,13754,9534,16329,12319,7463,0,0,0
"1621","261320",49250,26389,22861,0,10357,9300,6732,9691,8177,4993,0,0,0
"1622","261330",42871,22825,20046,0,9572,7913,5340,8896,7060,4090,0,0,0
"1623","261340",30836,17020,13816,0,7546,6115,3359,6601,4998,2217,0,0,0
"1624","261350",73148,38140,35008,0,15499,13253,9388,15132,12234,7641,0,0,0
"1625","261360",76200,41408,34792,0,15227,13945,12236,13637,12000,9155,0,0,0
"1626","261370",187828,101804,86019,5,43383,37448,20973,38654,31985,15380,2,3,0
"1627","261380",39268,20762,18506,0,8301,7211,5250,7899,6684,3923,0,0,0
"1628","261390",179965,102913,77052,0,41442,34382,27089,33646,26167,17239,0,0,0
"1629","261400",44066,22619,21447,0,8367,7490,6762,8325,7309,5813,0,0,0
"1630","261410",83860,43323,40537,0,15763,14476,13084,15634,13955,10948,0,0,0
"1631","261420",68646,35163,33482,1,15897,13267,5999,15791,12633,5058,0,0,1
"1632","261430",21130,10579,10551,0,3975,3655,2949,4161,3735,2655,0,0,0
"1633","261440",15294,7761,7533,0,2875,2611,2275,2971,2585,1977,0,0,0
"1634","261450",134871,76308,58563,0,29538,26501,20269,24317,20890,13356,0,0,0
"1635","261460",63906,34288,29618,0,12319,11288,10681,11402,10096,8120,0,0,0
"1636","261470",30016,15728,14288,0,6265,5516,3947,6050,5096,3142,0,0,0
"1637","261480",41106,21819,19287,0,8861,7558,5400,8216,6757,4314,0,0,0
"1638","261485",37346,20347,16999,0,9332,7439,3576,8242,6257,2500,0,0,0
"1639","261500",42796,23997,18799,0,10253,8863,4881,8465,7035,3299,0,0,0
"1640","261510",16360,8771,7589,0,3128,2977,2666,2906,2635,2048,0,0,0
"1641","261520",23741,12019,11722,0,4382,3926,3711,4501,3908,3313,0,0,0
"1642","261530",124012,66697,57315,0,26338,23507,16852,24318,20768,12229,0,0,0
"1643","261540",59971,32900,27069,2,14595,12111,6194,12644,9964,4461,1,0,1
"1644","261550",26069,13818,12251,0,5837,5124,2857,5464,4582,2205,0,0,0
"1645","261560",56048,31231,24817,0,13677,11370,6184,11940,8915,3962,0,0,0
"1646","261570",40591,21676,18915,0,7893,7230,6553,7245,6471,5199,0,0,0
"1647","261580",50191,26264,23924,3,10127,9164,6973,9923,8562,5439,1,1,1
"1648","261590",21399,11286,10113,0,4342,3803,3141,4163,3499,2451,0,0,0
"1649","261600",39330,21432,17898,0,8786,7751,4895,7823,6614,3461,0,0,0
"1650","261610",21595,11430,10165,0,4305,3910,3215,4083,3539,2543,0,0,0
"1651","261618",19574,10343,9231,0,3781,3543,3019,3663,3285,2283,0,0,0
"1652","261620",37402,20342,17060,0,8944,7694,3704,7893,6462,2705,0,0,0
"1653","261630",57758,30770,26988,0,12846,11344,6580,12036,10135,4817,0,0,0
"1654","261640",294300,162009,132291,0,63925,57294,40790,55865,47782,28644,0,0,0
"1655","261650",21241,11305,9936,0,5453,4357,1495,5068,3758,1110,0,0,0
"1656","270010",46743,24479,22264,0,9748,8725,6006,9433,8184,4647,0,0,0
"1657","270020",34701,18061,16640,0,7234,6474,4353,7028,6034,3578,0,0,0
"1658","270030",470838,260481,210357,0,114908,96882,48691,97223,78563,34571,0,0,0
"1659","270040",69759,36652,33107,0,15831,13807,7014,15127,12571,5409,0,0,0
"1660","270050",28991,15518,13473,0,7238,5840,2440,6587,4964,1922,0,0,0
"1661","270060",16568,8978,7590,0,3925,3331,1722,3528,2829,1233,0,0,0
"1662","270070",32484,17724,14760,0,7330,6663,3731,6498,5676,2586,0,0,0
"1663","270080",18289,10535,7754,0,4303,3914,2318,3397,2917,1440,0,0,0
"1664","270090",13457,6739,6718,0,2617,2333,1789,2732,2402,1584,0,0,0
"1665","270100",54742,28381,26361,0,11361,10416,6604,10971,9682,5708,0,0,0
"1666","270110",19754,10132,9622,0,4633,3873,1626,4579,3663,1380,0,0,0
"1667","270120",24531,12958,11573,0,5251,4761,2946,4982,4322,2269,0,0,0
"1668","270130",35734,18944,16790,0,8232,6925,3787,7605,6235,2950,0,0,0
"1669","270135",13783,7251,6532,0,3234,2825,1192,3077,2546,909,0,0,0
"1670","270140",71328,38604,32724,0,16017,14181,8406,14365,12154,6205,0,0,0
"1671","270150",17288,9006,8282,0,4416,3324,1266,4269,3003,1010,0,0,0
"1672","270160",37678,19801,17877,0,8245,7398,4158,7964,6822,3091,0,0,0
"1673","270170",30892,16461,14431,0,7175,6150,3136,6712,5403,2316,0,0,0
"1674","270180",17342,9161,8181,0,3963,3545,1653,3777,3161,1243,0,0,0
"1675","270190",13796,7095,6701,0,2856,2595,1644,2896,2513,1292,0,0,0
"1676","270200",26596,13611,12983,2,5294,4714,3603,5290,4597,3096,0,1,1
"1677","270210",29873,16016,13857,0,7352,5921,2743,6683,5116,2058,0,0,0
"1678","270220",13019,6920,6099,0,2927,2568,1425,2715,2305,1079,0,0,0
"1679","270230",101456,53503,47953,0,24006,20149,9348,22190,18047,7716,0,0,0
"1680","270235",43640,23488,20152,0,10542,9006,3940,9639,7622,2891,0,0,0
"1681","270240",106106,56508,49598,0,25262,19073,12173,23062,16984,9552,0,0,0
"1682","270250",21104,11224,9879,1,4720,4141,2363,4491,3718,1670,0,0,1
"1683","270255",32477,16973,15504,0,6739,6075,4159,6517,5694,3293,0,0,0
"1684","270260",42984,23102,19882,0,9701,8636,4765,9096,7474,3312,0,0,0
"1685","270270",9226,4882,4344,0,2023,1715,1144,1936,1593,815,0,0,0
"1686","270280",23426,12325,11101,0,5553,4689,2083,5283,4223,1595,0,0,0
"1687","270290",72066,38116,33950,0,16187,14463,7466,15259,12973,5718,0,0,0
"1688","270300",23837,12573,11264,0,5815,4777,1981,5501,4233,1530,0,0,0
"1689","270310",50903,26984,23919,0,11330,9501,6153,10607,8520,4792,0,0,0
"1690","270320",51256,26739,24517,0,10612,9901,6226,10191,9235,5091,0,0,0
"1691","270330",36008,19503,16505,0,8305,7149,4049,7573,6084,2848,0,0,0
"1692","270340",13536,6999,6537,0,2736,2540,1723,2681,2426,1430,0,0,0
"1693","270350",11603,6020,5583,0,2592,2251,1177,2549,2147,887,0,0,0
"1694","270360",13264,7050,6214,0,3356,2665,1029,3124,2332,758,0,0,0
"1695","270370",10717,5720,4997,0,2427,2116,1177,2264,1870,863,0,0,0
"1696","270375",19992,10017,9975,0,4318,3874,1825,4513,3920,1542,0,0,0
"1697","270380",31936,16602,15334,0,7588,6034,2980,7437,5531,2366,0,0,0
"1698","270390",8329,4361,3968,0,1926,1674,761,1872,1515,581,0,0,0
"1699","270400",39262,20600,18662,0,10268,7065,3267,9638,6410,2614,0,0,0
"1700","270410",38160,20513,17647,0,8803,7640,4070,8113,6672,2862,0,0,0
"1701","270420",45857,24418,21439,0,10753,8578,5087,9979,7555,3905,0,0,0
"1702","270430",1912597,1065556,847039,2,437073,383919,244564,368281,310445,168313,1,0,1
"1703","270440",37710,20607,17103,0,8701,7788,4118,7811,6513,2779,0,0,0
"1704","270450",46512,26341,20169,2,12073,9713,4555,9893,7348,2928,1,1,0
"1705","270460",21652,11005,10647,0,4524,4215,2266,4551,4064,2032,0,0,0
"1706","270470",119919,65013,54904,2,28322,24445,12246,25148,20320,9436,0,1,1
"1707","270480",29466,15803,13663,0,6516,5822,3465,5981,5108,2574,0,0,0
"1708","270490",8964,4520,4444,0,1666,1567,1287,1733,1567,1144,0,0,0
"1709","270500",44517,22760,21757,0,9731,8029,5000,9848,7775,4134,0,0,0
"1710","270510",36562,19712,16850,0,9175,7402,3135,8359,6287,2204,0,0,0
"1711","270520",32360,17299,15061,0,7933,6491,2875,7203,5704,2154,0,0,0
"1712","270530",12836,6603,6233,0,2610,2361,1632,2564,2241,1428,0,0,0
"1713","270540",12611,6764,5847,0,2979,2543,1242,2726,2217,904,0,0,0
"1714","270550",44671,23891,20780,0,10483,8788,4620,9640,7719,3421,0,0,0
"1715","270560",17437,9150,8287,0,4394,3515,1241,4170,3221,896,0,0,0
"1716","270570",44407,24543,19864,0,10524,9029,4990,9090,7422,3352,0,0,0
"1717","270580",18677,9714,8963,0,4200,3565,1949,4120,3301,1542,0,0,0
"1718","270590",7884,4083,3801,0,1970,1591,522,1920,1436,445,0,0,0
"1719","270600",19446,10318,9128,0,4669,4038,1611,4424,3510,1194,0,0,0
"1720","270610",24224,12865,11359,0,5352,4833,2680,5116,4323,1920,0,0,0
"1721","270620",9951,5387,4564,0,2251,1998,1138,2109,1742,713,0,0,0
"1722","270630",155799,85092,70707,0,35984,30767,18341,31525,25669,13513,0,0,0
"1723","270640",48878,26049,22829,0,10748,9417,5884,10121,8354,4354,0,0,0
"1724","270642",25510,12970,12540,0,5238,4727,3005,5310,4681,2549,0,0,0
"1725","270644",21086,12034,9052,0,5246,4374,2414,4344,3316,1392,0,0,0
"1726","270650",21862,11837,10025,0,5328,4580,1929,4850,3867,1308,0,0,0
"1727","270660",16895,8894,8001,0,3546,3170,2178,3397,2893,1711,0,0,0
"1728","270670",128083,69452,58631,0,29752,25660,14040,26651,21913,10067,0,0,0
"1729","270680",36582,19509,17070,3,7770,7291,4448,7193,6540,3337,2,1,0
"1730","270690",76374,42066,34308,0,17682,15367,9017,15024,12753,6531,0,0,0
"1731","270700",5178,2726,2452,0,1250,1017,459,1183,917,352,0,0,0
"1732","270710",49726,26720,23006,0,11029,9638,6053,10111,8486,4409,0,0,0
"1733","270720",27218,13720,13498,0,5923,4890,2907,6115,4870,2513,0,0,0
"1734","270730",45031,24513,20518,0,10892,9153,4468,9813,7583,3122,0,0,0
"1735","270740",11568,6397,5171,0,3160,2443,794,2731,1919,521,0,0,0
"1736","270750",44146,22730,21416,0,9205,8099,5426,9128,7743,4545,0,0,0
"1737","270760",28346,14725,13621,0,6149,5475,3101,6019,5085,2517,0,0,0
"1738","270770",163240,89813,73427,0,39308,33300,17205,33944,27541,11942,0,0,0
"1739","270780",12587,6509,6078,0,2943,2534,1032,2949,2360,769,0,0,0
"1740","270790",17851,9506,8345,0,3840,3440,2226,3620,3126,1599,0,0,0
"1741","270800",91244,49578,41665,1,21436,18660,9482,19090,15687,6888,0,0,1
"1742","270810",25933,13375,12558,0,5299,4979,3097,5287,4789,2482,0,0,0
"1743","270820",13793,7251,6542,0,2984,2720,1547,2918,2543,1081,0,0,0
"1744","270830",45516,23399,22117,0,10480,8884,4035,10393,8463,3261,0,0,0
"1745","270840",62796,33627,29169,0,13974,12313,7340,13068,10717,5384,0,0,0
"1746","270850",43048,23216,19832,0,10656,8548,4012,9736,7262,2834,0,0,0
"1747","270860",104349,56033,48315,1,23941,20272,11820,21646,17801,8868,0,0,1
"1748","270870",11588,6483,5105,0,2965,2541,977,2486,2002,617,0,0,0
"1749","270880",63356,35077,28279,0,14582,12899,7596,12643,10537,5099,0,0,0
"1750","270890",25168,13689,11479,0,5892,4991,2806,5157,4307,2015,0,0,0
"1751","270895",23806,12503,11303,0,5480,4798,2225,5211,4343,1749,0,0,0
"1752","270900",14836,7915,6921,0,3090,2820,2005,2898,2543,1480,0,0,0
"1753","270910",42860,22947,19913,0,9245,8652,5050,8514,7570,3829,0,0,0
"1754","270915",83152,44879,38273,0,19099,16614,9166,17232,14326,6715,0,0,0
"1755","270920",43843,22975,20868,0,9203,8390,5382,9095,7750,4023,0,0,0
"1756","270930",112505,61660,50845,0,27965,23496,10199,24081,19352,7412,0,0,0
"1757","270940",52853,28115,24738,0,11961,10275,5879,11162,9234,4342,0,0,0
"1758","280000",8,4,4,0,2,2,0,1,2,1,0,0,0
"1759","280010",5410,2792,2618,0,1174,1074,544,1167,1046,405,0,0,0
"1760","280020",46610,25133,21477,0,9759,8981,6393,9086,7925,4466,0,0,0
"1761","280030",1398213,783342,614861,10,298560,265756,219026,253539,215223,146099,6,4,0
"1762","280040",26350,13557,12793,0,5587,4775,3195,5619,4566,2608,0,0,0
"1763","280050",40014,21532,18482,0,8689,7725,5118,8108,6791,3583,0,0,0
"1764","280060",66247,36707,29540,0,15183,12794,8730,13036,10399,6105,0,0,0
"1765","280067",58678,31948,26730,0,12503,10952,8493,11236,9474,6020,0,0,0
"1766","280070",14606,7748,6858,0,3359,2774,1615,3331,2451,1076,0,0,0
"1767","280100",40243,22486,17757,0,9021,7419,6046,7852,6153,3752,0,0,0
"1768","280110",9640,4800,4840,0,1952,1730,1118,2097,1768,975,0,0,0
"1769","280120",66762,35008,31754,0,14400,12515,8093,13902,11665,6187,0,0,0
"1770","280130",77649,40949,36700,0,16034,14638,10277,15274,13374,8052,0,0,0
"1771","280140",44911,24151,20760,0,10244,8882,5025,9402,7703,3655,0,0,0
"1772","280150",32356,17114,15242,0,7205,6126,3783,6721,5454,3067,0,0,0
"1773","280160",13854,7524,6330,0,2920,2679,1925,2647,2336,1347,0,0,0
"1774","280170",28686,15493,13193,0,7514,5813,2166,6819,4768,1606,0,0,0
"1775","280190",9762,5269,4493,0,2092,1911,1266,1931,1739,823,0,0,0
"1776","280200",12920,6642,6278,0,2450,2269,1923,2500,2195,1583,0,0,0
"1777","280210",144790,77014,67776,0,34692,28881,13441,32315,25185,10276,0,0,0
"1778","280220",11929,6448,5481,0,2758,2428,1262,2526,2037,918,0,0,0
"1779","280230",27800,15299,12501,0,6263,5560,3476,5631,4633,2237,0,0,0
"1780","280240",26197,13087,13110,0,5146,4633,3308,5474,4704,2932,0,0,0
"1781","280250",8060,4348,3712,0,1581,1483,1284,1404,1287,1021,0,0,0
"1782","280260",12143,6253,5890,0,2688,2264,1301,2666,2151,1073,0,0,0
"1783","280270",18861,10066,8795,0,4091,3619,2356,3898,3220,1677,0,0,0
"1784","280280",32963,17729,15234,0,7279,6442,4008,6855,5692,2687,0,0,0
"1785","280290",217079,120802,96277,0,47885,41970,30947,41084,34385,20808,0,0,0
"1786","280300",73251,39757,33494,0,17633,15492,6632,15921,12945,4628,0,0,0
"1787","280310",11001,5666,5334,1,2202,1965,1499,2230,1921,1183,1,0,0
"1788","280320",67675,36990,30685,0,15306,13437,8247,13821,11301,5563,0,0,0
"1789","280330",38072,19830,18242,0,8044,6743,5043,7787,6412,4043,0,0,0
"1790","280340",30666,15997,14669,0,6439,5425,4133,6317,5060,3292,0,0,0
"1791","280350",206487,112542,93945,0,47708,40166,24668,42975,34066,16904,0,0,0
"1792","280360",36483,19402,17081,0,10579,7157,1666,9505,6208,1368,0,0,0
"1793","280370",17332,9295,8037,0,3571,3236,2488,3362,2914,1761,0,0,0
"1794","280380",8239,4314,3925,0,1798,1566,950,1739,1458,728,0,0,0
"1795","280390",28412,15156,13256,0,5982,5504,3670,5746,4977,2533,0,0,0
"1796","280400",33333,17518,15815,0,7094,6124,4300,6773,5690,3352,0,0,0
"1797","280410",27924,14892,13032,0,5448,5109,4335,5238,4684,3110,0,0,0
"1798","280420",32923,17758,15165,0,7140,6525,4093,6655,5633,2877,0,0,0
"1799","280430",20429,10922,9507,0,4371,3933,2618,4080,3545,1882,0,0,0
"1800","280440",38027,19956,18071,0,8214,7236,4506,7958,6665,3448,0,0,0
"1801","280445",19058,10043,9015,0,4009,3524,2510,3876,3233,1906,0,0,0
"1802","280450",77202,41691,35511,0,16976,14720,9995,15521,12864,7126,0,0,0
"1803","280460",54202,29816,24386,0,12229,10830,6757,10791,9005,4590,0,0,0
"1804","280470",15753,8276,7477,0,3313,3044,1919,3250,2811,1416,0,0,0
"1805","280480",350325,193904,156421,0,80698,67808,45398,70687,55433,30301,0,0,0
"1806","280490",32737,17104,15633,0,6499,6130,4475,6430,5823,3380,0,0,0
"1807","280500",6533,3375,3158,0,1403,1214,758,1397,1163,598,0,0,0
"1808","280510",20683,10977,9706,0,4467,4069,2441,4297,3642,1767,0,0,0
"1809","280520",11800,6273,5527,0,2947,2273,1053,2721,2001,805,0,0,0
"1810","280530",19453,10283,9170,0,4231,3689,2363,3975,3384,1811,0,0,0
"1811","280540",56482,29955,26527,0,12344,10751,6860,11876,9685,4966,0,0,0
"1812","280550",52777,27341,25436,0,11581,10031,5729,11250,9422,4764,0,0,0
"1813","280560",64063,32752,31311,0,13432,12436,6884,13467,12122,5722,0,0,0
"1814","280570",60699,33182,27517,0,14020,11668,7494,12305,9869,5343,0,0,0
"1815","280580",41405,21678,19727,0,9189,7970,4519,8990,7328,3409,0,0,0
"1816","280590",18242,9843,8399,0,4217,3660,1966,3875,3073,1451,0,0,0
"1817","280600",43043,23220,19823,0,8832,8222,6166,8142,7291,4390,0,0,0
"1818","280610",21304,11665,9639,0,4786,4108,2771,4188,3446,2005,0,0,0
"1819","280620",38211,20031,18180,0,8151,6934,4946,8036,6427,3717,0,0,0
"1820","280630",24400,12898,11502,0,5192,4679,3027,5047,4327,2128,0,0,0
"1821","280640",15663,8276,7387,0,3348,3063,1865,3211,2766,1410,0,0,0
"1822","280650",8110,4221,3889,0,2024,1629,568,1966,1476,447,0,0,0
"1823","280660",23606,12304,11302,0,4863,4197,3244,4767,3947,2588,0,0,0
"1824","280670",111645,60915,50730,0,36388,13086,11441,31841,11225,7664,0,0,0
"1825","280680",23263,12502,10761,0,4807,4310,3385,4457,3879,2425,0,0,0
"1826","280690",9179,4851,4328,0,1836,1711,1304,1721,1554,1053,0,0,0
"1827","280700",7692,4033,3659,0,1633,1447,953,1603,1333,723,0,0,0
"1828","280710",81850,43996,37853,1,19863,16643,7490,18061,14180,5612,0,0,1
"1829","280720",20510,10773,9737,0,4162,3862,2749,3995,3590,2152,0,0,0
"1830","280730",7080,3787,3293,0,1475,1348,964,1380,1208,705,0,0,0
"1831","280740",101442,55570,45872,0,23161,20398,12011,20340,16896,8636,0,0,0
"1832","280750",23827,12565,11262,0,5582,4640,2343,5376,4177,1709,0,0,0
"1833","280760",45929,25147,20782,0,10452,9461,5234,9443,8069,3270,0,0,0
"1834","290000",23,2,21,0,1,1,0,9,9,3,0,0,0
"1835","290010",19973,10398,9575,0,3551,3410,3437,3440,3245,2890,0,0,0
"1836","290020",44303,23037,21266,0,9004,8227,5806,8810,7816,4640,0,0,0
"1837","290030",31453,16964,14489,0,6765,5927,4272,6239,5188,3062,0,0,0
"1838","290035",30724,15842,14882,0,6088,5753,4001,6024,5513,3345,0,0,0
"1839","290040",30870,16791,14079,0,6609,5953,4229,6055,5132,2892,0,0,0
